SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,11612 Leesville Rd,Raleigh,NC,27613,374900,6,4.0,King Lar,2783,17859,2010,23,135,8,Active,,,http://www.redfin.com/NC/Raleigh/11612-Leesville-Rd-27613/home/41363523,TMLS,2187327,N,Y,35.919692,-78.743769
MLS Listing,,Vacant Land,1001 Clovelly Ct,Raleigh,NC,27614,315000,,,Devon,,67518,,1,,,Active,,,http://www.redfin.com/NC/Raleigh/1001-Clovelly-Ct-27614/home/44523146,TMLS,2192801,N,Y,35.914891,-78.61702
MLS Listing,,Single Family Residential,405 Lynchester Ct,Raleigh,NC,27615,265000,3,2.0,North Haven,1640,13939,1976,1,162,,Active,,,http://www.redfin.com/NC/Raleigh/405-Lynchester-Ct-27615/home/41131297,TMLS,2192797,N,Y,35.871786,-78.6347751
MLS Listing,,Single Family Residential,1613 Briarwood Pl,Raleigh,NC,27614,389900,4,4.0,Ravenwood,3572,97138,1985,1,109,10,Active,,,http://www.redfin.com/NC/Raleigh/1613-Briarwood-Pl-27614/home/41338006,TMLS,2192792,N,Y,35.9448453,-78.6082763
MLS Listing,,Single Family Residential,2387 Stevens Rd,Raleigh,NC,27610-1739,286900,3,1.0,Longview Park,1149,10018,1956,1,250,,Active,,,http://www.redfin.com/NC/Raleigh/2387-Stevens-Rd-27610/home/145706021,TMLS,2192759,N,Y,35.7886804,-78.6034333
MLS Listing,,Single Family Residential,904 E Edenton St,Raleigh,NC,27601,344900,3,2.0,Wake,1418,4356,1925,1,243,,Active,,,http://www.redfin.com/NC/Raleigh/904-E-Edenton-St-27601/home/41068336,TMLS,2192751,N,Y,35.7805503,-78.6253775
MLS Listing,,Townhouse,13336 Ashford Park Dr,Raleigh,NC,27613,352500,3,3.0,Draymoor Manor,2591,4356,2004,1,136,190,Active,May-20-2018 01:00 PM,May-20-2018 04:00 PM,http://www.redfin.com/NC/Raleigh/13336-Ashford-Park-Dr-27613/home/41289523,TMLS,2192747,N,Y,35.9053099,-78.7253565
MLS Listing,,Townhouse,434 Van Thomas Dr,Raleigh,NC,27615,319500,2,3.0,Willow Ridge Townhomes,1785,1742,1985,1,179,186,Active,,,http://www.redfin.com/NC/Raleigh/434-Van-Thomas-Dr-27615/home/41157586,TMLS,2192713,N,Y,35.8768459,-78.636636
MLS Listing,,Single Family Residential,8701 Danbury Cir,Raleigh,NC,27613,379900,3,2.0,Cambridge,1645,39204,1976,1,231,,Active,,,http://www.redfin.com/NC/Raleigh/8701-Danbury-Cir-27613/home/41127404,TMLS,2192704,N,Y,35.9006377,-78.7014483
MLS Listing,,Townhouse,9119 Carrington Ridge Dr,Raleigh,NC,27615,355000,3,3.0,Carrington Ridge,2227,5227,1998,1,159,200,Active,,,http://www.redfin.com/NC/Raleigh/9119-Carrington-Ridge-Dr-27615/home/41233342,TMLS,2192680,N,Y,35.907143,-78.660026
MLS Listing,,Townhouse,809 Bankston Woods Way #80,Raleigh,NC,27609,399000,3,4.0,Wake,2559,1306,2018,1,156,99,Active,May-20-2018 01:00 PM,May-20-2018 05:00 PM,http://www.redfin.com/NC/Raleigh/809-Bankston-Woods-Way-27609/unit-80/home/113011479,TMLS,2192627,N,Y,35.8279108,-78.6274476
MLS Listing,,Condo/Co-op,1231 Capability Dr #104,Raleigh,NC,27606,335000,4,5.0,North Shore,1946,,2004,1,172,261,Active,,,http://www.redfin.com/NC/Raleigh/1231-Capability-Dr-27606/unit-104/home/41290060,TMLS,2192621,N,Y,35.7682305,-78.6817016
MLS Listing,,Single Family Residential,5119 Stowecroft Ln Lot 177,Raleigh,NC,27616,343607,3,3.0,Belmont,2334,9147,2018,1,147,78,Active,,,http://www.redfin.com/NC/Raleigh/5119-Stowecroft-Ln-27616/unit-177/home/145697546,TMLS,2192612,N,Y,35.8379204,-78.5509262
MLS Listing,,Single Family Residential,2409 Clerestory Pl,Raleigh,NC,27615,250000,3,3.0,The Pointe at Lemuel,1537,7405,1996,1,163,11,Active,May-20-2018 02:00 PM,May-20-2018 04:00 PM,http://www.redfin.com/NC/Raleigh/2409-Clerestory-Pl-27615/home/41211961,TMLS,2192570,N,Y,35.8869576,-78.5993779
MLS Listing,,Single Family Residential,4705 Delta Lake Dr,Raleigh,NC,27612-7013,279900,3,3.0,Delta Ridge,1804,6969,2000,1,155,30,Active,,,http://www.redfin.com/NC/Raleigh/4705-Delta-Lake-Dr-27612/home/41242460,TMLS,2192454,N,Y,35.8559339,-78.717218
MLS Listing,,Single Family Residential,320 Northclift Dr,Raleigh,NC,27609,278000,3,2.0,Northclift,1666,11761,1969,1,167,,Active,,,http://www.redfin.com/NC/Raleigh/320-Northclift-Dr-27609/home/41104162,TMLS,2192452,N,Y,35.8630315,-78.6414917
MLS Listing,,Single Family Residential,1432 Sandusky Ln,Raleigh,NC,27614,350000,3,3.0,Ravens Ridge,2203,9147,2000,1,159,29,Active,,,http://www.redfin.com/NC/Raleigh/1432-Sandusky-Ln-27614/home/41245524,TMLS,2192432,N,Y,35.9147597,-78.5900591
MLS Listing,,Townhouse,8213 Saltwood Pl,Raleigh,NC,27617,254900,3,3.0,Glenwood Crossing,1779,2613,2008,2,143,113,Active,,,http://www.redfin.com/NC/Raleigh/8213-SaltWood-Pl-27617/home/41320289,TMLS,2192374,N,Y,35.8883187,-78.7426381
MLS Listing,,Single Family Residential,6000 Allsdale Dr,Raleigh,NC,27617,319900,3,3.0,Dominion Park,2132,8276,1997,2,150,46,Active,,,http://www.redfin.com/NC/Raleigh/6000-Allsdale-Dr-27617/home/41213293,TMLS,2192318,N,Y,35.9132961,-78.7450304
MLS Listing,,Townhouse,13306 Ashford Park Dr,Raleigh,NC,27613,349900,3,3.0,Draymoor Manor,2590,4356,2004,2,135,190,Active,May-20-2018 02:00 PM,May-20-2018 04:00 PM,http://www.redfin.com/NC/Raleigh/13306-Ashford-Park-Dr-27613/home/41295057,TMLS,2192293,N,Y,35.904847,-78.7241275
MLS Listing,,Single Family Residential,1721 E Lenoir,Raleigh,NC,27610,329000,4,3.0,Tupper Place,1300,8712,2004,2,253,,Active,,,http://www.redfin.com/NC/Raleigh/1721-E-Lenoir-St-27610/home/41256072,TMLS,2192285,N,Y,35.7709813,-78.6148476
MLS Listing,,Townhouse,5608 Berry Creek Cir,Raleigh,NC,27613-1467,259900,3,3.0,Long Lake,1793,2178,2004,2,145,125,Active,,,http://www.redfin.com/NC/Raleigh/5608-Berry-Creek-Cir-27613/home/41286783,TMLS,2192258,N,Y,35.8780839,-78.7314038
MLS Listing,,Single Family Residential,1521 Shadowood Ln,Raleigh,NC,27612,359900,4,3.0,Briarwood,2004,16988,1968,2,180,,Active,May-20-2018 02:00 PM,May-20-2018 04:00 PM,http://www.redfin.com/NC/Raleigh/1521-Shadowood-Ln-27612/home/41076952,TMLS,2192257,N,Y,35.8525923,-78.6607721
MLS Listing,,Single Family Residential,2812 Tryon Pines Dr,Raleigh,NC,27603,262500,3,3.0,Tryon Pines,1750,11761,1997,2,150,,Active,,,http://www.redfin.com/NC/Raleigh/2812-Tryon-Pines-Dr-27603/home/41218685,TMLS,2192225,N,Y,35.7425194,-78.66994
MLS Listing,,Single Family Residential,6713 Hammersmith Dr,Raleigh,NC,27613,275000,3,3.0,Layton Glen,1422,10890,1992,2,193,,Active,,,http://www.redfin.com/NC/Raleigh/6713-Hammersmith-Dr-27613/home/41163885,TMLS,2192171,N,Y,35.8711904,-78.7101513
MLS Listing,,Single Family Residential,2604 Iman Dr,Raleigh,NC,27615,365000,4,3.0,Alyson Pond,2780,10018,1992,2,131,42,Active,,,http://www.redfin.com/NC/Raleigh/2604-Iman-Dr-27615/home/41198935,TMLS,2192142,N,Y,35.8943166,-78.5977043
MLS Listing,,Single Family Residential,1308 Bridgeport Dr,Raleigh,NC,27615,375000,4,3.0,Emerald Chase,2400,8276,1986,2,156,23,Active,,,http://www.redfin.com/NC/Raleigh/1308-Bridgeport-Dr-27615/home/41164176,TMLS,2192141,N,Y,35.8955942,-78.6621754
MLS Listing,,Single Family Residential,105 Cooke St,Raleigh,NC,27601,389900,3,1.0,Wake,1768,4356,1998,2,221,,Active,May-20-2018 01:00 PM,May-20-2018 03:00 PM,http://www.redfin.com/NC/Raleigh/105-Cooke-St-27601/home/41074535,TMLS,2192117,N,Y,35.781262,-78.6283479
MLS Listing,,Single Family Residential,8504 Bluff Pointe Ct,Raleigh,NC,27615-4198,375000,5,3.0,Hunters Knoll,3214,13503,1995,2,117,12,Active,,,http://www.redfin.com/NC/Raleigh/8504-Bluff-Pointe-Ct-27615/home/41343470,TMLS,2192116,N,Y,35.89483,-78.5833177
MLS Listing,,Townhouse,1308 Cameron View Ct,Raleigh,NC,27607-3362,355000,3,4.0,Cameron View,1837,1306,2001,2,193,165,Active,,,http://www.redfin.com/NC/Raleigh/1308-Cameron-View-Ct-27607/home/41253368,TMLS,2192074,N,Y,35.8008345,-78.6620438
MLS Listing,,Single Family Residential,707 E Whitaker Mill Rd,Raleigh,NC,27608,389000,3,2.0,Hi Mount at Five Points,1687,13068,1943,2,231,,Active,May-20-2018 02:00 PM,May-20-2018 04:00 PM,http://www.redfin.com/NC/Raleigh/707-E-Whitaker-Mill-Rd-27608/home/41095074,TMLS,2192073,N,Y,35.8073173,-78.628769
MLS Listing,,Single Family Residential,2712 Crofton Springs Dr,Raleigh,NC,27615,300000,3,3.0,Anson Grove,1878,7405,1994,3,160,25,Active,,,http://www.redfin.com/NC/Raleigh/2712-Crofton-Springs-Dr-27615/home/41204837,TMLS,2192031,N,Y,35.9039011,-78.5907243
MLS Listing,,Single Family Residential,1205 Mitchell St,Raleigh,NC,27607-3734,398000,3,2.0,Farrior Place,1159,8712,1949,3,343,,Active,,,http://www.redfin.com/NC/Raleigh/1205-Mitchell-St-27607/home/41115133,TMLS,2192012,N,Y,35.8013817,-78.6751477
MLS Listing,,Single Family Residential,708 Silver Leaf Pl,Raleigh,NC,27609,300000,3,2.0,Cedar Hills Estates,1892,10454,1973,3,159,,Active,,,http://www.redfin.com/NC/Raleigh/708-Silver-Leaf-Pl-27609/home/41124115,TMLS,2192005,N,Y,35.8582296,-78.625976
MLS Listing,,Single Family Residential,5420 Sylvan Ln,Raleigh,NC,27613,275000,3,2.0,Fernwood,1904,49222,1979,3,144,,Active,,,http://www.redfin.com/NC/Raleigh/5420-Sylvan-Ln-27613/home/41134593,TMLS,2192004,N,Y,35.8965623,-78.7298408
MLS Listing,,Single Family Residential,2116 Jarman Dr,Raleigh,NC,27604-3611,285000,3,3.0,Timberlake,2637,21780,1973,3,108,25,Active,,,http://www.redfin.com/NC/Raleigh/2116-Jarman-Dr-27604/home/41114073,TMLS,2191988,N,Y,35.8085046,-78.5897043
MLS Listing,,Single Family Residential,1319 S Bloodworth St,Raleigh,NC,27601,399000,3,3.0,South Park,1425,5662,2018,3,280,,Active,,,http://www.redfin.com/NC/Raleigh/1319-S-Bloodworth-St-27601/home/145665592,TMLS,2191987,N,Y,35.76362,-78.633821
MLS Listing,,Single Family Residential,4023 Oatgrass Ln,Raleigh,NC,27604,265000,3,3.0,Weslyn,2968,5227,2004,3,89,34,Active,,,http://www.redfin.com/NC/Raleigh/4023-Oatgrass-Ln-27604/home/41282553,TMLS,2191973,N,Y,35.8171899,-78.5693012
MLS Listing,,Single Family Residential,12434 Pawleys Mill Cir,Raleigh,NC,27614,325000,4,3.0,St James Place,2759,9147,2003,3,118,30,Active,,,http://www.redfin.com/NC/Raleigh/12434-Pawleys-Mill-Cir-27614/home/41280673,TMLS,2191929,N,Y,35.9598429,-78.5498923
MLS Listing,,Single Family Residential,5212 Pinehall Wynd,Raleigh,NC,27604,305000,4,3.0,Pine Hall Plantation,3015,9583,2000,3,101,21,Active,,,http://www.redfin.com/NC/Raleigh/5212-Pinehall-Wynd-27604/home/41246362,TMLS,2191884,N,Y,35.8150908,-78.5509453
MLS Listing,,Townhouse,13216 Ashford Park Dr,Raleigh,NC,27613,315000,3,3.0,Draymoor Manor,1853,4791,2003,3,170,190,Active,May-20-2018 01:00 PM,May-20-2018 04:00 PM,http://www.redfin.com/NC/Raleigh/13216-Ashford-Park-Dr-27613/home/41275038,TMLS,2191856,N,Y,35.9034642,-78.7255005
