SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8692 Forester Ln,Apex,NC,27539,381900,4,4.0,Belmont,2748,13503,2010,51,139,30,Active,,,http://www.redfin.com/NC/Apex/8692-Forester-Ln-27539/home/41303296,TMLS,2180362,N,Y,35.6681986,-78.7489935
MLS Listing,,Single Family Residential,8105 Coleraine Ct,Raleigh,NC,27615,325000,4,3.0,Emerald Chase,2328,14374,1988,51,140,23,Active,,,http://www.redfin.com/NC/Raleigh/8105-Coleraine-Ct-27615/home/41230364,TMLS,2180347,N,Y,35.8934021,-78.6633704
MLS Listing,,Single Family Residential,129 Whitetail Deer Ln,Garner,NC,27529,347908,3,2.0,Wake,1902,8712,2018,51,183,,Active,,,http://www.redfin.com/NC/Garner/129-Whitetail-Deer-Ln-27529/home/145198977,TMLS,2180155,N,Y,35.67691,-78.62224
MLS Listing,,Single Family Residential,4508 Leaf Ct,Raleigh,NC,27612,384900,4,3.0,Birchwood Hills,2284,11325,1965,51,169,,Active,,,http://www.redfin.com/NC/Raleigh/4508-Leaf-Ct-27612/home/41334257,TMLS,2180118,N,Y,35.8434918,-78.6679847
MLS Listing,,Single Family Residential,130 Zulabelle Ct,Garner,NC,27529,299990,4,3.0,Wake,2800,12501,2018,54,107,28,Active,,,http://www.redfin.com/NC/Garner/130-Zulabelle-Ct-27529/home/145165315,TMLS,2179570,N,Y,35.6941012359295,-78.5992920398712
MLS Listing,,Single Family Residential,118 Zulabelle Ct,Garner,NC,27529,298990,4,3.0,Wake,2800,9583,2018,54,107,28,Active,,,http://www.redfin.com/NC/Garner/118-Zulabelle-Ct-27529/home/145164605,TMLS,2179526,N,Y,35.690517425537,-78.612007141113
MLS Listing,,Single Family Residential,109 Covington Chase Ct,Garner,NC,27529,290805,4,3.0,Wake,2508,9408,2018,55,116,54,Active,,,http://www.redfin.com/NC/Garner/109-Covington-Chase-Ct-27529/home/145157133,TMLS,2179452,N,Y,35.712428,-78.618721
MLS Listing,,Single Family Residential,121 Whitetail Deer Ln,Garner,NC,27529,359609,4,3.0,Wake,2558,8712,2018,57,141,,Active,,,http://www.redfin.com/NC/Garner/121-Whitetail-Deer-Ln-27529/home/145133849,TMLS,2179219,N,Y,35.676382227064,-78.622002414921
MLS Listing,,Single Family Residential,112 Zulabelle Ct,Garner,NC,27529,285990,5,3.0,Wake,2495,10018,2018,57,115,28,Active,,,http://www.redfin.com/NC/Garner/112-Zulabelle-Ct-27529/home/145133002,TMLS,2179144,N,Y,35.690517425537,-78.612007141113
MLS Listing,,Single Family Residential,6213 Woodmark Trl,Raleigh,NC,27606,330000,3,3.0,Hunters Ridge,2702,41382,1984,57,122,,Active,,,http://www.redfin.com/NC/Raleigh/6213-Woodmark-Trl-27606/home/41141046,TMLS,2177879,N,Y,35.7052429,-78.7394065
MLS Listing,,Single Family Residential,485 Waterville St,Raleigh,NC,27603,385000,4,3.0,Eagle Ridge,2998,12196,2014,57,128,42,Active,,,http://www.redfin.com/NC/Raleigh/485-Waterville-St-27603/home/52208554,TMLS,2179033,N,Y,35.6747574,-78.6670652
MLS Listing,,Single Family Residential,100 Bonniewood Dr,Cary,NC,27518,349900,4,3.0,Lochmere Highlands,2279,10890,1994,58,154,49,Active,,,http://www.redfin.com/NC/Cary/100-Bonniewood-Dr-27518/home/41190654,TMLS,2178793,N,Y,35.7167083,-78.7734547
MLS Listing,,Single Family Residential,212 Easy Wind Ln,Garner,NC,27529,359900,3,3.0,The Village at Aversboro,2228,5662,2008,59,162,100,Active,,,http://www.redfin.com/NC/Garner/212-Easy-Wind-Ln-27529/home/41322903,TMLS,2178556,N,Y,35.6812271,-78.6177094
MLS Listing,,Single Family Residential,203 Mcknitt Pl,Garner,NC,27529-5250,399900,5,3.0,Heather Woods,3152,15246,2012,64,127,,Active,,,http://www.redfin.com/NC/Garner/203-McKnitt-Pl-27529/home/41362147,TMLS,2177817,N,Y,35.6754894,-78.6139749
MLS Listing,,Single Family Residential,4801 Metcalf Dr,Raleigh,NC,27612,389900,4,3.0,Oak Park,3048,18295,1978,65,128,,Active,,,http://www.redfin.com/NC/Raleigh/4801-Metcalf-Dr-27612/home/41087805,TMLS,2174239,N,Y,35.8466036,-78.7075777
MLS Listing,,Single Family Residential,3811 Yates Mill Trl,Raleigh,NC,27606,340000,3,3.0,Crossings at Tryon,1911,4356,2015,70,178,33,Active,,,http://www.redfin.com/NC/Raleigh/3811-Yates-Mill-Trl-27606/home/41357066,TMLS,2176479,N,Y,35.7456085,-78.7039291
MLS Listing,,Single Family Residential,830 Coleman St,Raleigh,NC,27610,399800,3,3.0,Quarry Hills,1711,4791,2018,71,234,,Active,,,http://www.redfin.com/NC/Raleigh/830-Coleman-St-27610/home/113111245,TMLS,2176324,N,Y,35.768433,-78.622883
MLS Listing,,Single Family Residential,1325 Formal Garden Way,Raleigh,NC,27603,324000,4,3.0,Renaissance Park,2397,3920,2013,71,135,81,Active,,,http://www.redfin.com/NC/Raleigh/1325-Formal-Garden-Way-27603/home/45354324,TMLS,2175482,N,Y,35.7377615,-78.658955
MLS Listing,,Single Family Residential,355 Coalyard Dr,Garner,NC,27529,290000,5,3.0,Bingham Station,3504,11325,2006,72,83,21,Active,,,http://www.redfin.com/NC/Garner/355-Coalyard-Dr-27529/home/41309891,TMLS,2175791,N,Y,35.6707731,-78.58722
MLS Listing,,Single Family Residential,4554 Tall Timber Dr,The Villages,FL,32162,365000,3,2.0,Grand Oaks Manor,1923,5663,2018,73,190,150,Active,,,http://www.redfin.com/FL/The-Villages/4554-Tall-Timber-Dr-32162/home/144945338,Beaches MLS,RX-10409393,N,Y,35.850006,-78.680291
MLS Listing,,Single Family Residential,8500 Clivedon Dr,Raleigh,NC,27615-3990,312500,3,3.0,Durant Quarter,2219,7405,1995,75,141,41,Active,,,http://www.redfin.com/NC/Raleigh/8500-Clivedon-Dr-27615/home/41186300,TMLS,2175271,N,Y,35.8954809,-78.5865997
MLS Listing,,Single Family Residential,1417 Garner Rd,Raleigh,NC,27610,315000,3,3.0,Wake,1248,6969,2018,77,252,,Active,,,http://www.redfin.com/NC/Raleigh/1417-Garner-Rd-27610/home/41083133,TMLS,2174972,N,Y,35.7623997,-78.6312073
MLS Listing,,Single Family Residential,642 Seastone St,Raleigh,NC,27603,310000,4,3.0,Eagle Ridge,2732,19166,2006,85,113,42,Active,,,http://www.redfin.com/NC/Raleigh/642-Seastone-St-27603/home/41256562,TMLS,2173351,N,Y,35.6645783,-78.6748201
MLS Listing,,Single Family Residential,607 Maywood Ave,Raleigh,NC,27603,397000,3,3.0,Caraleigh,1506,1742,2017,86,264,17,Active,,,http://www.redfin.com/NC/Raleigh/607-Maywood-Ave-27603/home/144881256,TMLS,2173325,N,Y,35.7605499,-78.6566577
MLS Listing,,Single Family Residential,3712 Dade St,Raleigh,NC,27612,400000,4,2.0,Beckana,2153,18730,1958,94,186,,Active,,,http://www.redfin.com/NC/Raleigh/3712-Dade-St-27612/home/41110208,TMLS,2171879,N,Y,35.8324685,-78.6693695
MLS Listing,,Single Family Residential,2321 Hinton St,Raleigh,NC,27612,379900,3,3.0,Wake,2391,5662,2018,107,159,,Active,,,http://www.redfin.com/NC/Raleigh/2321-Hinton-St-27612/home/41112134,TMLS,2169623,N,Y,35.8718695,-78.6813338
MLS Listing,,Single Family Residential,8204 Old Deer Trl,Raleigh,NC,27615,362000,4,3.0,Summerfield North,2590,11325,1984,107,140,39,Active,,,http://www.redfin.com/NC/Raleigh/8204-Old-Deer-Trl-27615/home/41153438,TMLS,2169550,N,Y,35.8893141,-78.6416247
MLS Listing,,Single Family Residential,167 Valleycruise Cir,Garner,NC,27529,389900,4,3.0,The Glens at Bethel,2890,9583,2018,108,135,45,Active,May-26-2018 12:00 PM,May-26-2018 05:00 PM,http://www.redfin.com/NC/Garner/167-Valleycruise-Cir-27529/unit-12/home/56506198,TMLS,2169242,N,Y,35.66797,-78.599997
MLS Listing,,Single Family Residential,2102 Manuel St,Raleigh,NC,27612,400000,4,3.0,Beckana,2207,13939,1952,121,181,,Active,,,http://www.redfin.com/NC/Raleigh/2102-Manuel-St-27612/home/41076743,TMLS,2167651,N,Y,35.8307354,-78.673453
MLS Listing,,Single Family Residential,1539 1/2 Battery Dr,Raleigh,NC,27610,389900,3,3.0,Battery Heights,1520,4356,2017,121,257,,Active,,,http://www.redfin.com/NC/Raleigh/1539-Battery-Dr-27610/home/144378011,TMLS,2167542,N,Y,35.776423,-78.6147639
MLS Listing,,Single Family Residential,1029 Mills St,Raleigh,NC,27608,269900,3,2.0,Forest Acres,1231,6098,1992,130,219,,Active,,,http://www.redfin.com/NC/Raleigh/1029-Mills-St-27608/home/41095515,TMLS,2165642,N,Y,35.811147,-78.6221684
MLS Listing,,Single Family Residential,113 Vandora Hills Pl,Garner,NC,27529,296870,4,3.0,Wake,2508,14461,2018,150,118,54,Active,,,http://www.redfin.com/NC/Garner/113-Forest-Hills-Dr-27529/home/144478764,TMLS,2164383,N,Y,35.712428,-78.618721
MLS Listing,,Single Family Residential,135 Birdo Point Way,Garner,NC,27529,307000,4,4.0,Adams Point,2618,8712,2017,156,117,50,Active,,,http://www.redfin.com/NC/Garner/135-Birdo-Point-Way-27529/home/144450140,TMLS,2163636,N,Y,35.693729829203,-78.6351559833711
MLS Listing,,Single Family Residential,525 S Haywood St,Raleigh,NC,27601,269000,3,2.0,Wake,1185,6969,1910,160,227,,Active,,,http://www.redfin.com/NC/Raleigh/525-S-Haywood-St-27601/home/41068032,TMLS,2163127,N,Y,35.772924,-78.6280824
